pmid,ref_list
17030582,"['15933008', '15933009']"
11120944,['10756003']
11923347,['10449459']
15155225,['14693548']
10449459,['10756003']
16452151,"['11120944', '15155225']"
17693596,['16452151']
17719250,['11825972']
18577180,"['16452151', '17693596']"
19414562,['17693596']
19700634,"['19414562', '19622074']"
19622074,"['18577180', '19414562', '16452151']"
19732157,['16452151']
19876375,"['18577180', '16452151', '19414562', '19700634']"
15933009,['15933008']
16504068,['15314660']
18321378,['17194304']
15314654,['15314660']
15314660,['15314654']
18579432,['17601876']
15933008,['15933009']
18190707,['17194304']
17360275,['17360274']
15207060,"['10756003', '11158125']"
15634984,"['11158125', '11923347']"
11158125,"['10449459', '10756003']"
14638801,['10756003']
14745027,['14638801']
10756003,['10449459']
11825972,"['10756003', '11158125']"
12734214,"['10756003', '11825972']"
14693548,['10756003']
20124343,['20124349']
22802648,['20360213']
22371600,['20124339']
20124339,['15590782']
21714942,['21036663']
21801381,['19197347']
23533610,['22151541']
23335123,['10884408']
22151541,['19212443']
20559563,['18190707']
21036663,"['20124343', '20124349']"
21109778,['21109780']
21109780,['21109778']
21697014,"['18689507', '19587241', '21655301']"
22688819,"['21036663', '20124343', '20124349']"
21546911,['19651857']
21655301,"['18689507', '19587241']"
19265535,['17993529']
18221513,['17010160']
20966091,['9501228']
22009061,['14762000']
17784789,['9841674']
20631681,['20682267']
20682267,['20631681']
20333253,['18811729']
19395564,['17993529']
20668530,['17430587']
21223537,['19325880']
22075580,['20668530']
12169610,['8096622']
14602910,"['12169610', '12840036']"
15968079,"['14602910', '12169610', '12840036']"
9603824,['9721270']
22201529,['21966902']
8944203,"['1370845', '8380182']"
1370845,"['1691208', '2155917', '2157735', '2159539', '2161866', '2549095', '2819870', '2986127']"
8380182,"['6097599', '2819870', '3404526', '2157735', '2326177', '2160802', '2161866', '1847008', '1850635', '6325492']"
1691208,"['6269067', '284385', '3060247', '2919166']"
2155917,"['6325492', '6097599', '2991576', '2447830', '2993351']"
2157735,"['2852677', '6323766', '6325492', '6097599', '2992365', '2993351']"
2159539,"['2161866', '2839690', '2839722', '2845133', '14127971', '6272282', '6287000', '6323749', '6323766', '6324136', '6324200', '6325492', '6330698', '3003384', '3512851', '3006071', '215997', '224211', '3033275', '3039165', '2835660', '2836612', '2476566', '2583126', '2555560', '2555569']"
2161866,"['271968', '6272282', '6323766', '6324200', '2984245', '2410905', '2993351', '3003384', '3474623', '2819870', '3375076', '3200828', '2919166', '2852677', '2476566']"
2549095,"['6300854', '6546431']"
2819870,"['6272282', '6287019', '6325492', '6726891', '2410905', '2993351']"
2986127,"['6272282', '6183443', '6310601', '6694911', '6726891', '6208377']"
6097599,"['6244553', '6260985', '6273836', '6284987', '6310508', '6325492']"
3404526,"['6865944', '3668915']"
2326177,"['2836621', '2825196']"
2160802,"['5780700', '6331168']"
1847008,"['2826637', '3003395', '2819870', '2437321', '6092681', '6571704', '223612']"
1850635,"['1847316', '3404526', '3668915', '2161866']"
6325492,"['6256764', '6279697']"
4148753,['4148752']
6269067,"['1105573', '360212', '388356', '390497']"
284385,"['19730', '10793753']"
3060247,"['6191328', '3945551', '3003749', '3004048', '3005635', '6325487', '6325492', '6371049', '6427769', '6374657', '3711299', '6097598', '6097599', '2982911', '2984244', '2582358', '4000941', '3748805', '3531233', '3021812', '3533986', '3771764', '3027670', '1105573', '158748', '291033', '6256764', '6273878', '7107852', '6960359', '6761360', '2420820', '3958151', '2422199', '6639017', '6360046', '3013925', '6088570', '6392327', '3033014', '2439535', '3112180', '3305559', '2821066', '2993351', '2997269', '2933635', '3001134']"
2919166,"['6326095', '3684574', '3903658', '3003749', '3010240', '2437321', '3601674', '3601675']"
2991576,"['333444', '6273878', '6287021', '6287022', '6300836', '6328048', '6088807', '6088808']"
2447830,"['2822759', '6322125', '2984684', '2997728', '3005635', '3700633', '3013928', '3524455', '3022645', '3038016', '6310601']"
2993351,"['6097599', '6323766', '6325492', '6330698']"
2852677,"['6097599', '3512851', '3748805', '2993351']"
6323766,"['6260985', '13664869']"
2992365,"['7159068', '7447405']"
2839690,"['3023945', '3023946', '3029432', '3033330', '3582359', '3035560', '3039165', '6245254', '7301588', '6283138', '6284987', '6954488', '6323749', '6324120', '6324136', '2987843', '3010307']"
2839722,"['14582204', '2835660', '6260985', '6272282', '6284987', '6323749', '6091052', '3003384', '3006071', '3009852', '3009888', '3023945', '3031587', '3033275', '3033330', '3035560']"
2845133,"['2845152', '6284987', '6287457', '6323749', '6324136', '6384934', '2983312', '2985827', '2985829', '2986132', '2987518', '2991572', '3895223', '3006071', '3009894', '3018486', '3023668', '3023706', '3031587', '3033278', '3037110', '3039164', '3039165', '3041041']"
14127971,"['13641571', '13641572', '13664869', '13715282', '13715283']"
6272282,"['1105573', '19730', '229266', '6986610', '6158042', '6255181', '6260985']"
6287000,"['6251263', '6264121', '6168777', '6283140']"
6323749,"['215997', '7420540', '6267593', '6283126', '6283138', '6284987', '6287457']"
6324136,"['271968', '81487', '224211', '229266', '229465', '231762', '6255181', '6272282', '6275128', '6281483', '6283117', '6284987', '6294604', '6316275', '6546423']"
6324200,"['271968', '6272282', '6284987', '6185960', '6298739', '6310508', '6310545']"
6330698,"['59925', '209457', '225559', '388356', '229465', '6158042', '6262784', '6166921', '6267593', '6272197', '6272282', '6273836', '6283126', '6283138', '6284987', '6287457', '6188863', '6310508', '6310545', '6329703']"
3003384,"['7017722', '6269069', '6272282', '6310508', '6310601', '6324200', '6726891', '6330698', '6091052', '2983090', '13664869', '271968', '284385']"
3512851,"['2983312', '2987843', '1105573', '59925', '271968', '388356', '229266', '6267593', '6272282', '6283117', '6283126', '6287457', '6321771', '6324120', '6324136', '6726891', '6384934', '6093056']"
3006071,"['6330698', '6089122', '6093056', '2983312', '2984684', '2985793', '2986127', '225559', '6260985', '6262784', '6267593', '6272282', '6284987', '6324120', '6324136', '2987843', '2410905', '3003739', '13664869', '6088796']"
215997,['81487']
224211,"['81487', '215997']"
3033275,"['3006071', '3018486', '271968', '6272282', '6287457', '6310508', '6310545', '6324200', '6330698', '6093056', '2983090', '2983312', '2987843', '3003384', '3003739', '3005620', '3009852']"
3039165,"['3039164', '271968', '224211', '6287457', '6188863', '6088805', '2985827', '2985829', '2986132', '2991572', '3010307', '3018486', '3021972', '3029432', '3035560']"
2835660,"['271968', '6272282', '6284987', '6954488', '6323749', '3003384', '3009852', '3009888', '3029432', '3033275', '3033330']"
2836612,"['3029432', '3033275', '2835660', '271968', '6272282', '6284987', '6298741', '6091052', '3006071', '3018486', '3023656']"
2476566,"['6272282', '6324200', '6331168', '6092681', '2410905', '3003384']"
2583126,"['2983309', '3926482', '2410262', '3460065', '3837182', '3023965', '2436038', '3582371', '3035545', '3600637', '3437893', '2832737', '3352609', '2835666', '3136013', '6960240', '6201722']"
2555560,"['271968', '6310545', '6371808', '6330698', '6093056', '2983090', '2983312', '2987843', '3865188', '3009852', '3010307', '3033275', '2836612', '2839704', '2839722', '2536107', '2536821', '2536835', '3039178']"
2555569,"['6275104', '2578578', '3003384', '3010307', '3031587', '2555559', '2457118', '2536823', '2476574']"
271968,['163918']
2984245,"['59925', '6244553', '6325492']"
2410905,"['6088796', '6325492', '1105573', '73185', '6244553', '6159641', '7022155', '6272282', '6273836', '6287227', '6298739', '6300437', '6310601']"
3474623,"['287063', '271968', '6340110', '6575390', '3156376', '3951988']"
3375076,"['158748', '6812046', '6191328', '2582352', '2582358', '4000941', '3889841', '3748808', '3774550', '6273878']"
3200828,"['271968', '6575390', '3588303', '3474623', '3267215', '287063']"
6300854,['6289302']
6546431,"['6262809', '6457158', '6172778', '6278410', '6174938', '7099970', '6292491', '6184674']"
6287019,"['4594039', '183379', '198578', '149110', '209219', '291033', '228055', '388356', '6244590', '6246534', '6255202', '6165834', '6264141', '6281461']"
6726891,"['6323757', '6296450', '6321771']"
6183443,"['7022155', '6267593', '6283126', '6283138', '6284987']"
6310601,"['6310545', '73185', '6246507', '6159641', '7022155', '6272282']"
6694911,"['6262735', '6269091', '6170981', '6272299', '6946474', '6170983', '6950381', '6951161', '6176944', '7043459', '6285305', '10872328', '11894934', '6126875', '6296767', '6897567', '6985486', '6961406', '6298749', '6572397', '6188104', '6300842', '6188151', '6300847', '6572965', '6220408', '6304626', '6190133', '6304641', '6304644', '6856469', '7443547', '6934509', '6164057', '6306584', '6575389', '6306654', '6192430', '6192439', '6308656', '6127673', '6815656', '6294614', '6574451', '6574503', '6866767', '388425', '6154927', '6354707', '6315416', '6685625', '6283475', '6180381', '6287424']"
6208377,['6183443']
1370849,"['2155917', '59925', '2993351', '2819870', '2984245', '3889842', '6097599', '2157735', '2159539', '2161866']"
6244553,['81487']
6260985,"['271968', '228265', '231762', '6244553', '6158042', '6253931']"
6273836,"['6272282', '1105573', '787929', '358198', '388356', '6244553', '6158042', '6260985']"
6284987,"['206891', '6245254', '6260985', '7301588', '6272282', '6273836', '6283126', '6283138']"
6310508,"['6310545', '787937', '271968', '6259625', '6260985', '7022155', '6267593', '6283126', '6283138', '6298715', '6298739']"
6865944,"['1105573', '358198', '6159641', '6166922', '6167987', '6272197', '6946435', '6275393']"
3668915,['223612']
2836621,"['3004974', '3023880', '3023918', '3038517', '2819862', '2826127', '6098465', '2998773']"
2825196,"['2437578', '6287227', '6086326', '3456558', '3083412', '3016727']"
5780700,"['14464244', '14155025', '14329472']"
6331168,"['5780700', '6254364']"
2826637,['3023067']
3003395,"['6384934', '6328023', '6093056', '2987518', '2987843', '6726891', '6089122', '6272282', '6283162', '6575390', '6310545', '6324120', '6092710']"
2437321,"['3003749', '6196781']"
6092681,"['223612', '6254364', '6260666', '6260687', '6300445', '6309663']"
